,question,answer,context
295,How many actions does it take to process the milk mixture?,2,"mix the condensed milk , evaporated milk , 1/2 cup of sugar , the vanilla and eggs . in a saucepan dissolve 1/2 cup sugar in 1/4 cup of water and heat . pour the caramel in a glass and pour the milk mixture on top place the dish with the milk mixture inside the larger dish and cover with foil . cook in a 400 degree oven for 30 - 45 minutes . serve slightly chilled . "
296,How many actions does it take to process the vanilla?,1,"mix the condensed milk , evaporated milk , 1/2 cup of sugar , the vanilla and eggs . in a saucepan dissolve 1/2 cup sugar in 1/4 cup of water and heat . pour the caramel in a glass and pour the milk mixture on top place the dish with the milk mixture inside the larger dish and cover with foil . cook in a 400 degree oven for 30 - 45 minutes . serve slightly chilled . "
297,How many actions does it take to process the sugar?,1,"traditionally all the nuts are fried in the ghee one by one . alternatively take roasted nuts or make them at home in the oven or microwave . to do this in a conventional oven , spread the nuts in a shallow tray and drizzle warm ghee over it . now bake for 10 - 15 minutes at 350 degrees f , till they become crunchy and brownish in color . gently pound half of the nuts and mix these with sugar , coconut and cardamom powder . mix rest of the nuts ( not pounded portion ) with this mixture and toss thoroughly . and yess , we are ready ! ! ! ! ! "
298,How many actions does it take to process the ghee?,1,"traditionally all the nuts are fried in the ghee one by one . alternatively take roasted nuts or make them at home in the oven or microwave . to do this in a conventional oven , spread the nuts in a shallow tray and drizzle warm ghee over it . now bake for 10 - 15 minutes at 350 degrees f , till they become crunchy and brownish in color . gently pound half of the nuts and mix these with sugar , coconut and cardamom powder . mix rest of the nuts ( not pounded portion ) with this mixture and toss thoroughly . and yess , we are ready ! ! ! ! ! "
299,How many actions does it take to process the boiling salted water?,1,"quarter and core the cabbage , cook for 3 minutes , ( 5 or 10 for red cabbage ) in boiling salted water . drain , pressing out all water , shred . peel , core and dice the apples . heat the oil in a large dutch oven , stir in the apples and cabbage . season and stir in wine and berries . bring to a boil , cover and simmer for 20 to 25 minutes , ( or cook in a preheated oven 350 degrees , for 35 to 40 minutes ) turn occasionally to prevent sticking , adding more liquid if necessary . when the cabbage seems almost ready , check the liquid , if it seems watery , remove lid to evaporate excess . for red cabbage , mash the jelly into the vinegar , stir into the cabbage and cook for an extra few minutes . check seasoning and serve hot . "
300,How many times is the pot used?,1,"quarter and core the cabbage , cook for 3 minutes , ( 5 or 10 for red cabbage ) in boiling salted water . drain , pressing out all water , shred . peel , core and dice the apples . heat the oil in a large dutch oven , stir in the apples and cabbage . season and stir in wine and berries . bring to a boil , cover and simmer for 20 to 25 minutes , ( or cook in a preheated oven 350 degrees , for 35 to 40 minutes ) turn occasionally to prevent sticking , adding more liquid if necessary . when the cabbage seems almost ready , check the liquid , if it seems watery , remove lid to evaporate excess . for red cabbage , mash the jelly into the vinegar , stir into the cabbage and cook for an extra few minutes . check seasoning and serve hot . "
301,How many times is the lid used?,2,"quarter and core the cabbage , cook for 3 minutes , ( 5 or 10 for red cabbage ) in boiling salted water . drain , pressing out all water , shred . peel , core and dice the apples . heat the oil in a large dutch oven , stir in the apples and cabbage . season and stir in wine and berries . bring to a boil , cover and simmer for 20 to 25 minutes , ( or cook in a preheated oven 350 degrees , for 35 to 40 minutes ) turn occasionally to prevent sticking , adding more liquid if necessary . when the cabbage seems almost ready , check the liquid , if it seems watery , remove lid to evaporate excess . for red cabbage , mash the jelly into the vinegar , stir into the cabbage and cook for an extra few minutes . check seasoning and serve hot . "
302,How many times is the knife used?,1,"combine 1/2 of the italian dressing , onion , tomato , chilies and chili powder in a microwave proof bowl or casserole . microwave at full power , uncovered , for 4 minutes or until vegetables are tender and mixture is thickened , stir in cilantro . sprinkle 1/2 cup cheese on 1/2 of each tortilla and top with 3 tablespoons vegetable mixture . fold tortillas in half and brush with remaining italian dressing . place 3 filled tortillas on a wax paper lined plate and microwave on * high for 1 minute or until cheese is melted ; repeat with remaining tortillas . cut each quesadilla into thirds . garnish with salsa , guacamole and sour cream if desired ; serve immediately . "
303,How many actions does it take to process the chili powder?,1,"combine 1/2 of the italian dressing , onion , tomato , chilies and chili powder in a microwave proof bowl or casserole . microwave at full power , uncovered , for 4 minutes or until vegetables are tender and mixture is thickened , stir in cilantro . sprinkle 1/2 cup cheese on 1/2 of each tortilla and top with 3 tablespoons vegetable mixture . fold tortillas in half and brush with remaining italian dressing . place 3 filled tortillas on a wax paper lined plate and microwave on * high for 1 minute or until cheese is melted ; repeat with remaining tortillas . cut each quesadilla into thirds . garnish with salsa , guacamole and sour cream if desired ; serve immediately . "
304,How many actions does it take to process the tomato?,1,"combine 1/2 of the italian dressing , onion , tomato , chilies and chili powder in a microwave proof bowl or casserole . microwave at full power , uncovered , for 4 minutes or until vegetables are tender and mixture is thickened , stir in cilantro . sprinkle 1/2 cup cheese on 1/2 of each tortilla and top with 3 tablespoons vegetable mixture . fold tortillas in half and brush with remaining italian dressing . place 3 filled tortillas on a wax paper lined plate and microwave on * high for 1 minute or until cheese is melted ; repeat with remaining tortillas . cut each quesadilla into thirds . garnish with salsa , guacamole and sour cream if desired ; serve immediately . "
305,How many times is the casserole used?,2,"remove scallops from shells . dispose the gills and clean thoroughly . make sure you scrub the shells well if you are using them for display . remove the shells from prawns keeping the tails and devein . rinse . preheat oven at 200degc for convection oven . heat oil and butter in pan . sauteed garlic and bacon till fragrant . add seafood , and the rest of the ingredients . mix well and transfer to casserole when they are about half cooked . top with cheese . bake your seafood till golden brown and served your delicious creamy baked seafood casserole piping hot ! "
306,How many actions does it take to process the butter?,1,"remove scallops from shells . dispose the gills and clean thoroughly . make sure you scrub the shells well if you are using them for display . remove the shells from prawns keeping the tails and devein . rinse . preheat oven at 200degc for convection oven . heat oil and butter in pan . sauteed garlic and bacon till fragrant . add seafood , and the rest of the ingredients . mix well and transfer to casserole when they are about half cooked . top with cheese . bake your seafood till golden brown and served your delicious creamy baked seafood casserole piping hot ! "
307,How many actions does it take to process the bacon?,1,"remove scallops from shells . dispose the gills and clean thoroughly . make sure you scrub the shells well if you are using them for display . remove the shells from prawns keeping the tails and devein . rinse . preheat oven at 200degc for convection oven . heat oil and butter in pan . sauteed garlic and bacon till fragrant . add seafood , and the rest of the ingredients . mix well and transfer to casserole when they are about half cooked . top with cheese . bake your seafood till golden brown and served your delicious creamy baked seafood casserole piping hot ! "
308,How many actions does it take to process the broth?,1,"melt the butter . cut the leeks in half and wash . dice the potatoes and carrots and add with the leeks to the saucepan . cook five minutes while stirring . add flour , remove from heat and add broth all at once while continuing to stir . reduce heat and let simmer . pour soup over egg yolks , a little at a time , stirring constantly . season with salt and pepper to taste . sprinkle with fresh parsley . serve at once . "
309,How many actions does it take to process the pepper?,1,"melt the butter . cut the leeks in half and wash . dice the potatoes and carrots and add with the leeks to the saucepan . cook five minutes while stirring . add flour , remove from heat and add broth all at once while continuing to stir . reduce heat and let simmer . pour soup over egg yolks , a little at a time , stirring constantly . season with salt and pepper to taste . sprinkle with fresh parsley . serve at once . "
310,How many actions does it take to process the salad ingredient?,1,"line a suitable attractive bowl with lettuce leaves . arrange the other salad ingredients in layers , on the lettuce , finishing with the nuts and chives . cover and place in refrigerator until needed . when ready to serve , pour over the dressing and scatter with the croutons . "
311,How many times is the lid used?,1,"line a suitable attractive bowl with lettuce leaves . arrange the other salad ingredients in layers , on the lettuce , finishing with the nuts and chives . cover and place in refrigerator until needed . when ready to serve , pour over the dressing and scatter with the croutons . "
312,How many times is the refrigerator used?,1,"line a suitable attractive bowl with lettuce leaves . arrange the other salad ingredients in layers , on the lettuce , finishing with the nuts and chives . cover and place in refrigerator until needed . when ready to serve , pour over the dressing and scatter with the croutons . "
313,How many actions does it take to process the chive?,1,"line a suitable attractive bowl with lettuce leaves . arrange the other salad ingredients in layers , on the lettuce , finishing with the nuts and chives . cover and place in refrigerator until needed . when ready to serve , pour over the dressing and scatter with the croutons . "
314,How many actions does it take to process the pepper?,1,"chop up the crab meat . peel and half the eggs , remove the yolks . mix the yolks with the sour cream , tomato paste , and tabasco . add salt and pepper to taste , then fold in the crab meat . stuff the eggs with this mixture , garnish with the shrimp and some dill . "
315,How many actions does it take to process the tabasco?,1,"chop up the crab meat . peel and half the eggs , remove the yolks . mix the yolks with the sour cream , tomato paste , and tabasco . add salt and pepper to taste , then fold in the crab meat . stuff the eggs with this mixture , garnish with the shrimp and some dill . "
316,How many times is the knife used?,1,"chop up the crab meat . peel and half the eggs , remove the yolks . mix the yolks with the sour cream , tomato paste , and tabasco . add salt and pepper to taste , then fold in the crab meat . stuff the eggs with this mixture , garnish with the shrimp and some dill . "
317,How many actions does it take to process the milk?,2,"place the rice in hot water , bring to boil and let simmer . add milk and bring to boil , then let simmer till very soft and sticky , at least 40 minutes . stir often to avoid scorching . add salt . serve either with luumukiisseli or sugar , cinnamon and milk . "
318,How many actions does it take to process the oil?,1,"halve the eggplants lengthwise & scoop out the flesh without piercing the ' shells ' . chop the flesh & save the shells . heat the oil in a large skillet . add the onion and cook over low heat , stirring occasionally , for 5 minutes until soft . add the chopped eggplant flesh , celery , bell peppers and tomatoes , season with salt & pepper and cook over low heat for 15 minutes . preheat the oven to 350 degrees f. brush an ovenproof dish with olive oil . remove the pan from the heat & stir in the eggs . fill the eggplant shells with the mixture and place in the prepared dish . sprinkle with parmesan and bake until golden & bubbling ! remove from the oven and let cool . serve cold / at room temperature . "
319,How many times is the brush used?,1,"halve the eggplants lengthwise & scoop out the flesh without piercing the ' shells ' . chop the flesh & save the shells . heat the oil in a large skillet . add the onion and cook over low heat , stirring occasionally , for 5 minutes until soft . add the chopped eggplant flesh , celery , bell peppers and tomatoes , season with salt & pepper and cook over low heat for 15 minutes . preheat the oven to 350 degrees f. brush an ovenproof dish with olive oil . remove the pan from the heat & stir in the eggs . fill the eggplant shells with the mixture and place in the prepared dish . sprinkle with parmesan and bake until golden & bubbling ! remove from the oven and let cool . serve cold / at room temperature . "
320,How many actions does it take to process the bell pepper?,1,"halve the eggplants lengthwise & scoop out the flesh without piercing the ' shells ' . chop the flesh & save the shells . heat the oil in a large skillet . add the onion and cook over low heat , stirring occasionally , for 5 minutes until soft . add the chopped eggplant flesh , celery , bell peppers and tomatoes , season with salt & pepper and cook over low heat for 15 minutes . preheat the oven to 350 degrees f. brush an ovenproof dish with olive oil . remove the pan from the heat & stir in the eggs . fill the eggplant shells with the mixture and place in the prepared dish . sprinkle with parmesan and bake until golden & bubbling ! remove from the oven and let cool . serve cold / at room temperature . "
321,How many actions does it take to process the milk?,1,"preheat oven to 350 degrees f. in a large frying pan , melt butter and saute onions . in a large bowl , place sliced zucchini . in a smaller bowl blend together eggs , milk , flour , and seasonings . add sauteed onions to zucchini and toss . mix cheeses to the zucchini and toss again . finally , add egg and milk mixture to the zucchini and stir until well combined . in a buttered 9-inch pie plate , pour zucchini filling and bake for about 50 - 55 minutes or until center comes out clean . "
322,How many times is the spoon used?,1,"preheat oven to 350 degrees f. in a large frying pan , melt butter and saute onions . in a large bowl , place sliced zucchini . in a smaller bowl blend together eggs , milk , flour , and seasonings . add sauteed onions to zucchini and toss . mix cheeses to the zucchini and toss again . finally , add egg and milk mixture to the zucchini and stir until well combined . in a buttered 9-inch pie plate , pour zucchini filling and bake for about 50 - 55 minutes or until center comes out clean . "
323,How many actions does it take to process the flour?,1,"preheat oven to 350 degrees f. in a large frying pan , melt butter and saute onions . in a large bowl , place sliced zucchini . in a smaller bowl blend together eggs , milk , flour , and seasonings . add sauteed onions to zucchini and toss . mix cheeses to the zucchini and toss again . finally , add egg and milk mixture to the zucchini and stir until well combined . in a buttered 9-inch pie plate , pour zucchini filling and bake for about 50 - 55 minutes or until center comes out clean . "
324,How many actions does it take to process the potato flake mixture?,2,"vegetable oil for sauteing mix the caribbean spice blend with the instant potato flakes and toss . dip each side of the cutlet into the potato flake mixture and set aside . heat a large cast iron frying pan with about 1/4 inch of vegetable oil . carefully , place the cutlet into the heated oil . let the cutlet saute until golden and turn to finish cooking on the other side , for 1/4 inch thickness is approximately 2 - 3 minutes each side . depending on how thick you sliced your cutlets will determine the cooking time . "
325,How many actions does it take to process the milk?,2,"in a saucepan combine the water and rice . bring to a boil . stir , cover , and cook over low heat for 20 minutes , stirring occasionally . add the milk , cover , and continue cooking until the milk is completely absorbed and the rice is soft and creamy . season with salt . preheat oven to 500degf. line a baking sheet with parchment paper . "
326,How many times is the lid used?,2,"in a saucepan combine the water and rice . bring to a boil . stir , cover , and cook over low heat for 20 minutes , stirring occasionally . add the milk , cover , and continue cooking until the milk is completely absorbed and the rice is soft and creamy . season with salt . preheat oven to 500degf. line a baking sheet with parchment paper . "
327,How many actions does it take to process the onion?,1,"put three litres of water in a pan and place it on fire . when starting to boil , put a chicken cut into pieces , meat and 2 ribs . add 2 onions ( in pieces ) , 1 pepper , celery and leek . let boil for 1 hour at slow fire . then include potatoes , yuca , coriander chopped in pieces , corns in pieces , salt and pepper to taste . "
328,How many actions does it take to process the meat?,1,"put three litres of water in a pan and place it on fire . when starting to boil , put a chicken cut into pieces , meat and 2 ribs . add 2 onions ( in pieces ) , 1 pepper , celery and leek . let boil for 1 hour at slow fire . then include potatoes , yuca , coriander chopped in pieces , corns in pieces , salt and pepper to taste . "
329,How many actions does it take to process the sugar?,1,"cream the butter and sugar smoothly together ; add the egg yolks one at a time , beating after each addition . add the vanilla , then gradually the flour , which has been sifted with the baking powder . add the chopped prunes . beat continually . whip 3 egg whites stiff with the salt and fold in . pour into a buttered loaf or funnel pan . bake in a moderate oven ( 350degf ) 50 minutes to 1 hour . test for doneness . use the other egg white to make a simple icing for the top ; or use it in the cake recipe . "
330,How many actions does it take to process the chopped prune?,1,"cream the butter and sugar smoothly together ; add the egg yolks one at a time , beating after each addition . add the vanilla , then gradually the flour , which has been sifted with the baking powder . add the chopped prunes . beat continually . whip 3 egg whites stiff with the salt and fold in . pour into a buttered loaf or funnel pan . bake in a moderate oven ( 350degf ) 50 minutes to 1 hour . test for doneness . use the other egg white to make a simple icing for the top ; or use it in the cake recipe . "
331,How many actions does it take to process the dry ingredient?,2,"melt the butter , add sugar and beat in the eggs and milk . combine the dry ingredients and add , mixing well . refrigerate 30 minutes . fry in a small amount of butter on a griddle . serve with butter and sugar . "
332,How many times is the griddle used?,1,"melt the butter , add sugar and beat in the eggs and milk . combine the dry ingredients and add , mixing well . refrigerate 30 minutes . fry in a small amount of butter on a griddle . serve with butter and sugar . "
333,How many actions does it take to process the milk?,1,"melt the butter , add sugar and beat in the eggs and milk . combine the dry ingredients and add , mixing well . refrigerate 30 minutes . fry in a small amount of butter on a griddle . serve with butter and sugar . "
334,How many actions does it take to process the berry?,1,"preheat oven to 450 degrees mix all the above ingredients , except the butter , in a blender until smooth and set aside add 4 tbs . unsalted butter to the 9x12 baking dish place the baking dish with the butter in the preheated oven to melt remove baking dish from the oven , pour in batter from the blender bake 15 minutes if "" crepe "" begins to brown to quicky reduce oven temperature slightly it should look puffed and golden around edges when finished remove from oven and slice into servings serve immediately while still warm with syrup , berries or powdered sugar on the side "
335,How many actions does it take to process the sliced courgette?,2,sizzle the pancetta in hot olive oil for about 5 mins until starting to crisp . add the sliced courgette to the pan . cook for 5 mins or until soft and starting to brown . add the garlic and cook for 1 minute longer . season and set aside . cook the fresh tagliatelle for 3 minutes ( according to the pack instructions ) . drain and tip into the frying pan with the pancetta and courgette . over a low heat toss everything together with the cream and half the parmesan . serve twirled into bowls with the remaining parmesan scattered over . 
336,How many actions does it take to process the parmesan?,2,sizzle the pancetta in hot olive oil for about 5 mins until starting to crisp . add the sliced courgette to the pan . cook for 5 mins or until soft and starting to brown . add the garlic and cook for 1 minute longer . season and set aside . cook the fresh tagliatelle for 3 minutes ( according to the pack instructions ) . drain and tip into the frying pan with the pancetta and courgette . over a low heat toss everything together with the cream and half the parmesan . serve twirled into bowls with the remaining parmesan scattered over . 
337,How many actions does it take to process the olive oil?,1,"pound each chicken breast half to an even thickness , about 3/8 "" . to pound chicken , put 1 breast half between two pieces of plastic wrap . pound with mallet or the flat side of a french knife to desired thickness , repeat with remaining chicken . lightly coat each piece with olive oil ; rub each with some of the rosemary and garlic . marinate in the refrigerator for at least 3 hours or up to 12 . "
338,How many actions does it take to process the garlic?,1,"pound each chicken breast half to an even thickness , about 3/8 "" . to pound chicken , put 1 breast half between two pieces of plastic wrap . pound with mallet or the flat side of a french knife to desired thickness , repeat with remaining chicken . lightly coat each piece with olive oil ; rub each with some of the rosemary and garlic . marinate in the refrigerator for at least 3 hours or up to 12 . "
339,How many actions does it take to process the vinegar?,1,"preheat the oven to 200degc/400degf. wash and dry the chicken thighs . mince the herbs . in a bowl put the extra virgin olive oil , the minced herbs , salt and pepper . put the chicken inside the bowl and gently massage the chicken with the oil and herbs mixture . pass each thigh on the breadcrumbs and put on an oven tray covered with parchment paper . cook until well done , from 50 minutes to one hour , depending on your oven and the weight of the chicken pieces . at half cooking time , turn each piece to the other side . prepare a sauce mixing the honey and vinegar . five minutes before taking the chicken out of the oven , brush each piece with the sauce . "
340,How many actions does it take to process the thigh?,1,"preheat the oven to 200degc/400degf. wash and dry the chicken thighs . mince the herbs . in a bowl put the extra virgin olive oil , the minced herbs , salt and pepper . put the chicken inside the bowl and gently massage the chicken with the oil and herbs mixture . pass each thigh on the breadcrumbs and put on an oven tray covered with parchment paper . cook until well done , from 50 minutes to one hour , depending on your oven and the weight of the chicken pieces . at half cooking time , turn each piece to the other side . prepare a sauce mixing the honey and vinegar . five minutes before taking the chicken out of the oven , brush each piece with the sauce . "
341,How many actions does it take to process the ingredient?,1,"in a medium saucepan cook the potatoes in salted water until tender , about 15 minutes . drain the potatoes and return them to the saucepan . while still warm , add the olive oil , garlic and chavrie(r ) goat cheese . whip the potatoes with hand held mixers until the ingredients are blended and the desired consistency is obtained . season with salt and black pepper . "
342,How many actions does it take to process the olive oil?,1,"in a medium saucepan cook the potatoes in salted water until tender , about 15 minutes . drain the potatoes and return them to the saucepan . while still warm , add the olive oil , garlic and chavrie(r ) goat cheese . whip the potatoes with hand held mixers until the ingredients are blended and the desired consistency is obtained . season with salt and black pepper . "
343,How many actions does it take to process the tomato?,2,"heat butter and add the seekh kebab and fry till golden brown . slit the seekh kebab from top and stuff it with grated cheese . fry the onions in butter . add salt , vinegar and paprika and fry until translucent . slit the bun in half , apply butter and grill to golden brown . cut the tomatoes in half slice and place them on the bun ] . put seekh kebab and onions , and grate cheese over the sandwich . grill until cheese melts . serve with chips and salad . "
344,How many actions does it take to process the paprika?,2,"heat butter and add the seekh kebab and fry till golden brown . slit the seekh kebab from top and stuff it with grated cheese . fry the onions in butter . add salt , vinegar and paprika and fry until translucent . slit the bun in half , apply butter and grill to golden brown . cut the tomatoes in half slice and place them on the bun ] . put seekh kebab and onions , and grate cheese over the sandwich . grill until cheese melts . serve with chips and salad . "
345,How many actions does it take to process the grated coconut?,2,"sift white flour , rice flour , salt and baking soda in a bowl and mix thoroughly . add oil and enough water and knead well to a smooth dough . combine grated coconut and palm suger mixture in the center of flat circles and close to seal the dough together . roll into a ball again . in a large saucepan , boil the coconut milk and sugar . once boiling , drop in the balls . stir gently to prevent the balls from sticking to the bottom . the balls will float to the surface when cooked . simmer for 10 minutes after the balls float . scoop the balls and serve on a plate . "
346,How many times is the ladle used?,1,"sift white flour , rice flour , salt and baking soda in a bowl and mix thoroughly . add oil and enough water and knead well to a smooth dough . combine grated coconut and palm suger mixture in the center of flat circles and close to seal the dough together . roll into a ball again . in a large saucepan , boil the coconut milk and sugar . once boiling , drop in the balls . stir gently to prevent the balls from sticking to the bottom . the balls will float to the surface when cooked . simmer for 10 minutes after the balls float . scoop the balls and serve on a plate . "
347,How many actions does it take to process the lemon juice?,1,"preheat the oven at 400f. on a cookie sheet drizzle the carrots with 3 tablespoons of the olive oil . place the cut side down on the cookie sheet , season lightly with salt . roast for about 10 minutes or until lightly browned and slightly soft . remove from the oven , place in a bowl and drizzle some of the agave nectar and some of the lemon juice ( taste and adjust to your taste liking ) . meanwhile steam the broccolini for about 3 -4 minutes , or still crispy . remove and place in a bowl of ice to stop the cooking process . discard the water , dry and toss with 2 tablespoons of olive oil and season with garlic and the balsamic vinegar . toss with the carrots . garnish with pine nuts and parsley . "
348,How many actions does it take to process the parsley?,1,"preheat the oven at 400f. on a cookie sheet drizzle the carrots with 3 tablespoons of the olive oil . place the cut side down on the cookie sheet , season lightly with salt . roast for about 10 minutes or until lightly browned and slightly soft . remove from the oven , place in a bowl and drizzle some of the agave nectar and some of the lemon juice ( taste and adjust to your taste liking ) . meanwhile steam the broccolini for about 3 -4 minutes , or still crispy . remove and place in a bowl of ice to stop the cooking process . discard the water , dry and toss with 2 tablespoons of olive oil and season with garlic and the balsamic vinegar . toss with the carrots . garnish with pine nuts and parsley . "
349,How many times is the refrigerator used?,1,"combine the beer , mustard , oil , salt and pepper in a nonreactive mixing bowl and stir or whisk until the salt crystals are dissolved . stir in the remaining ingredients . transfer to a large jar , cover and refrigerate . the marinade will keep for 3 days . "
350,How many times is the whisk used?,1,"combine the beer , mustard , oil , salt and pepper in a nonreactive mixing bowl and stir or whisk until the salt crystals are dissolved . stir in the remaining ingredients . transfer to a large jar , cover and refrigerate . the marinade will keep for 3 days . "
351,How many actions does it take to process the salt?,1,"combine the beer , mustard , oil , salt and pepper in a nonreactive mixing bowl and stir or whisk until the salt crystals are dissolved . stir in the remaining ingredients . transfer to a large jar , cover and refrigerate . the marinade will keep for 3 days . "
352,How many actions does it take to process the pepper?,1,"combine the beer , mustard , oil , salt and pepper in a nonreactive mixing bowl and stir or whisk until the salt crystals are dissolved . stir in the remaining ingredients . transfer to a large jar , cover and refrigerate . the marinade will keep for 3 days . "
353,How many actions does it take to process the carrot?,2,"combine oil , sugar , caraway seed , salt , and vinegar . rinse and drain sauerkraut well ; chop . stir into oil mixture . add apples and carrot ; toss to mix . "
354,How many actions does it take to process the sugar?,1,"combine oil , sugar , caraway seed , salt , and vinegar . rinse and drain sauerkraut well ; chop . stir into oil mixture . add apples and carrot ; toss to mix . "
355,How many actions does it take to process the salt?,2,"soak the beans overnight in water to cover . in the morning , drain the beans , rinse them under cold running water , and place them in a saucepan with fresh water to cover . bring to a boil over high heat , then reduce the heat and simmer several hours until the beans are soft and the skins begin to split . add water when necessary to keep the beans from drying , and stir occasionally to prevent them from burning and sticking . remove from the heat , drain , and allow to cool . in a bowl , toss together the greens , beans and rice . cover and chill in the refrigerator at least 30 minutes . in a blender , combine the oil , vinegar , chives , garlic , pepper , and salt . blend at high speed until the chives and garlic are finely pureed . "
356,How many times is the chopstick used?,1,"wash mung beans and soak in cold water for 3 hours . get rid of outer shell by rubbing them with hands . wash again . put them in a food processor with a little water and grind to fairly fine paste . in a bowl , mix onion , carrot , green onions , beef , bean sprouts and kimchi . add mung bean paste and salt . in a non - stick pan , add vegetable oil . pour a ladle of paste to make 3 - 4 inches in diameter and cook until brown , turn only once . serve with soy sauce ( with some chopped green onion ) . "
357,How many actions does it take to process the margarine?,1,"heat the oven to 375degf. roll out the cookie dough onto a 12-inch pizza pan . bake for 12 to 13 minutes or until golden brown . let cool until cold to the touch . in a small bowl , combine the peanut butter , cream cheese , sugar , salt , margarine , milk and vanilla . beat on medium speed , of an electric mixer , until light and fluffy . spread the mixture on the cookie and sprinkle with the chopped peanuts . cut into wedges . "
358,How many actions does it take to process the vanilla?,1,"heat the oven to 375degf. roll out the cookie dough onto a 12-inch pizza pan . bake for 12 to 13 minutes or until golden brown . let cool until cold to the touch . in a small bowl , combine the peanut butter , cream cheese , sugar , salt , margarine , milk and vanilla . beat on medium speed , of an electric mixer , until light and fluffy . spread the mixture on the cookie and sprinkle with the chopped peanuts . cut into wedges . "
359,How many times is the refrigerator used?,1,"sprinkle salt on the grated cucumber and leave aside for 15 minutes . mix together the dahi ( yoghurt ) , cream and cucumber . add lemon juice , capsicum , prawns and salt and pepper . chill for an hour before serving . "
360,How many actions does it take to process the capsicum?,1,"sprinkle salt on the grated cucumber and leave aside for 15 minutes . mix together the dahi ( yoghurt ) , cream and cucumber . add lemon juice , capsicum , prawns and salt and pepper . chill for an hour before serving . "
361,How many actions does it take to process the grated cucumber?,3,"sprinkle salt on the grated cucumber and leave aside for 15 minutes . mix together the dahi ( yoghurt ) , cream and cucumber . add lemon juice , capsicum , prawns and salt and pepper . chill for an hour before serving . "
362,How many actions does it take to process the catfish?,1,"preheat oven to 400degf degrees . coat baking sheet with vegetable oil or cooking spray several times to coat . in a shallow dish , combine cheese , bread crumbs , garlic powder , half chef q season all and white pepper . in another dish , whisk together lemon juice and olive oil . roll nuggets in beaten egg whites . then , roll in cheese mixture . dust with paprika and spray lightly with cooking spray . place catfish on prepared baking sheet . bake for 10 - 12 minutes . reduce the heat to 350degf , and bake for an additional 8 - 10 minutes , until crust is golden and fish flakes easily . serve with homemade tartar sauce . "
363,How many actions does it take to process the paprika?,1,"preheat oven to 400degf degrees . coat baking sheet with vegetable oil or cooking spray several times to coat . in a shallow dish , combine cheese , bread crumbs , garlic powder , half chef q season all and white pepper . in another dish , whisk together lemon juice and olive oil . roll nuggets in beaten egg whites . then , roll in cheese mixture . dust with paprika and spray lightly with cooking spray . place catfish on prepared baking sheet . bake for 10 - 12 minutes . reduce the heat to 350degf , and bake for an additional 8 - 10 minutes , until crust is golden and fish flakes easily . serve with homemade tartar sauce . "
364,How many actions does it take to process the egg yolk?,2,"medium saucepan , combine heavy cream , egg nog , dash of nutmeg , and vanilla . bring to a boil and then remove from the heat . let it stand for about 15 minutes . combine sugar and egg yolks in a medium bowl and beat with a whisk till yolks become a pale yellow color slowly add the cream mixture , stirring constantly . not too quick or you 'll have scrambled eggs . pour mixture into 6 6 - 7 oz ramekins that are placed in a roasting pan . once poured , transfer to a 325 degree oven and add hot water to 1/2 way up the ramekin for the water bath . let bake till the outsides of the custard become firm but the middle is still jiggly , about 45 min . put in the fridge till ready to eat , remove and let set for 10 - 15 minutes before using a torch to melt the sugar topping ! some people just like a tad bit of sugar , and some like the full teaspoon ! however much you like , please make sure your container of brulee is safe to go under the broiler if you do n't have a tiny torch ! i usually use 1/2 tsp of sugar for loved one 's pot o ' creme ! "
365,How many actions does it take to process the heavy cream?,1,"medium saucepan , combine heavy cream , egg nog , dash of nutmeg , and vanilla . bring to a boil and then remove from the heat . let it stand for about 15 minutes . combine sugar and egg yolks in a medium bowl and beat with a whisk till yolks become a pale yellow color slowly add the cream mixture , stirring constantly . not too quick or you 'll have scrambled eggs . pour mixture into 6 6 - 7 oz ramekins that are placed in a roasting pan . once poured , transfer to a 325 degree oven and add hot water to 1/2 way up the ramekin for the water bath . let bake till the outsides of the custard become firm but the middle is still jiggly , about 45 min . put in the fridge till ready to eat , remove and let set for 10 - 15 minutes before using a torch to melt the sugar topping ! some people just like a tad bit of sugar , and some like the full teaspoon ! however much you like , please make sure your container of brulee is safe to go under the broiler if you do n't have a tiny torch ! i usually use 1/2 tsp of sugar for loved one 's pot o ' creme ! "
366,How many times is the medium bowl used?,3,"medium saucepan , combine heavy cream , egg nog , dash of nutmeg , and vanilla . bring to a boil and then remove from the heat . let it stand for about 15 minutes . combine sugar and egg yolks in a medium bowl and beat with a whisk till yolks become a pale yellow color slowly add the cream mixture , stirring constantly . not too quick or you 'll have scrambled eggs . pour mixture into 6 6 - 7 oz ramekins that are placed in a roasting pan . once poured , transfer to a 325 degree oven and add hot water to 1/2 way up the ramekin for the water bath . let bake till the outsides of the custard become firm but the middle is still jiggly , about 45 min . put in the fridge till ready to eat , remove and let set for 10 - 15 minutes before using a torch to melt the sugar topping ! some people just like a tad bit of sugar , and some like the full teaspoon ! however much you like , please make sure your container of brulee is safe to go under the broiler if you do n't have a tiny torch ! i usually use 1/2 tsp of sugar for loved one 's pot o ' creme ! "
