,question,context,answer
386,How many stovetops are used?,"bring medium saucepan # part : boil # of water # part : boil # to a boil # habitat : stovetop 1.1.8 # . core # tool : cutting board 2.1.1 # tomatoes # part : core # and cut # tool : knife 2.1.1 # an "" x "" in bottom of each # part : core # . plunge # drop : tomatoes 2.1.2 # into boiling water 30 seconds . with slotted # part : remove # spoon , immediately remove to bowl # part : remove # of cold # part : remove # water . when cool enough to handle , peel # tool : cutting board 2.1.1 # tomatoes # part : peel # . cut # tool : cutting board 2.1.1 # each tomato # part : cut # horizontally in half ( through equator ) and squeeze out seeds . finely dice # tool : cutting board 2.1.1 # tomatoes # part : dice # and place # drop : tomatoes 2.1.2 # in serving # part : place # bowl . stir # result : salsa 8.1.1, tool : mixing spoon 8.1.1, habitat : serving bowl 7.1.7 # in remaining ingredients # part : stir # along with 1 tablespoon water # part : stir # . mix # shadow : salsa 8.1.1, tool : mixing spoon 8.1.1 # well . ",1
387,How many slotted spoons are used?,"bring medium saucepan # part : boil # of water # part : boil # to a boil # habitat : stovetop 1.1.8 # . core # tool : cutting board 2.1.1 # tomatoes # part : core # and cut # tool : knife 2.1.1 # an "" x "" in bottom of each # part : core # . plunge # drop : tomatoes 2.1.2 # into boiling water 30 seconds . with slotted # part : remove # spoon , immediately remove to bowl # part : remove # of cold # part : remove # water . when cool enough to handle , peel # tool : cutting board 2.1.1 # tomatoes # part : peel # . cut # tool : cutting board 2.1.1 # each tomato # part : cut # horizontally in half ( through equator ) and squeeze out seeds . finely dice # tool : cutting board 2.1.1 # tomatoes # part : dice # and place # drop : tomatoes 2.1.2 # in serving # part : place # bowl . stir # result : salsa 8.1.1, tool : mixing spoon 8.1.1, habitat : serving bowl 7.1.7 # in remaining ingredients # part : stir # along with 1 tablespoon water # part : stir # . mix # shadow : salsa 8.1.1, tool : mixing spoon 8.1.1 # well . ",1
388,How many saucepans are used?,"bring medium saucepan # part : boil # of water # part : boil # to a boil # habitat : stovetop 1.1.8 # . core # tool : cutting board 2.1.1 # tomatoes # part : core # and cut # tool : knife 2.1.1 # an "" x "" in bottom of each # part : core # . plunge # drop : tomatoes 2.1.2 # into boiling water 30 seconds . with slotted # part : remove # spoon , immediately remove to bowl # part : remove # of cold # part : remove # water . when cool enough to handle , peel # tool : cutting board 2.1.1 # tomatoes # part : peel # . cut # tool : cutting board 2.1.1 # each tomato # part : cut # horizontally in half ( through equator ) and squeeze out seeds . finely dice # tool : cutting board 2.1.1 # tomatoes # part : dice # and place # drop : tomatoes 2.1.2 # in serving # part : place # bowl . stir # result : salsa 8.1.1, tool : mixing spoon 8.1.1, habitat : serving bowl 7.1.7 # in remaining ingredients # part : stir # along with 1 tablespoon water # part : stir # . mix # shadow : salsa 8.1.1, tool : mixing spoon 8.1.1 # well . ",1
389,How many knives are used?,"bring medium saucepan # part : boil # of water # part : boil # to a boil # habitat : stovetop 1.1.8 # . core # tool : cutting board 2.1.1 # tomatoes # part : core # and cut # tool : knife 2.1.1 # an "" x "" in bottom of each # part : core # . plunge # drop : tomatoes 2.1.2 # into boiling water 30 seconds . with slotted # part : remove # spoon , immediately remove to bowl # part : remove # of cold # part : remove # water . when cool enough to handle , peel # tool : cutting board 2.1.1 # tomatoes # part : peel # . cut # tool : cutting board 2.1.1 # each tomato # part : cut # horizontally in half ( through equator ) and squeeze out seeds . finely dice # tool : cutting board 2.1.1 # tomatoes # part : dice # and place # drop : tomatoes 2.1.2 # in serving # part : place # bowl . stir # result : salsa 8.1.1, tool : mixing spoon 8.1.1, habitat : serving bowl 7.1.7 # in remaining ingredients # part : stir # along with 1 tablespoon water # part : stir # . mix # shadow : salsa 8.1.1, tool : mixing spoon 8.1.1 # well . ",1
390,How many actions does it take to process the graham cracker?,"stir # result : mixture 2.3.3, tool : spoon 1.1.1, habitat : bowl 1.1.1 # the melted # part : stir # butter , powdered # part : stir # sugar , graham # part : stir # cracker / vanilla # part : stir # crumbs , and almond # part : stir # butter together , until all of the ingredients are incorporated # drop : vanilla crumbs 1.1.12 almond butter 1.1.16 melted butter 1.1.3 powdered sugar 1.1.6 graham cracker 1.1.9, result : mixture 2.3.3 # . line a 9 # part : line # x 13 inch dish with foil # part : line # . drape the foil # part : drape # over the sides of the dish # part : drape # so that you can easily remove # tool : foil 2.1.9, habitat : x inch dish 2.1.3 # it once the bars set . press the mixture # part : press # into the bottom of the dish # part : press # . melt the vegan # part : melt # chocolate in a double # part : melt # boiler and spread # tool : spatula 3.1.10, habitat : x inch dish 2.1.3 # the chocolate # part : melt # over the almond # part : spread # butter mixture . while the chocolate is still warm , cut # drop : mixture 2.3.3, habitat : x inch dish 2.1.3 # the bars . allow to set # drop : bars 2.2.19, habitat : x inch dish 2.1.3 # for at least an hour . ",2
391,How many times is the foil used?,"stir # result : mixture 2.3.3, tool : spoon 1.1.1, habitat : bowl 1.1.1 # the melted # part : stir # butter , powdered # part : stir # sugar , graham # part : stir # cracker / vanilla # part : stir # crumbs , and almond # part : stir # butter together , until all of the ingredients are incorporated # drop : vanilla crumbs 1.1.12 almond butter 1.1.16 melted butter 1.1.3 powdered sugar 1.1.6 graham cracker 1.1.9, result : mixture 2.3.3 # . line a 9 # part : line # x 13 inch dish with foil # part : line # . drape the foil # part : drape # over the sides of the dish # part : drape # so that you can easily remove # tool : foil 2.1.9, habitat : x inch dish 2.1.3 # it once the bars set . press the mixture # part : press # into the bottom of the dish # part : press # . melt the vegan # part : melt # chocolate in a double # part : melt # boiler and spread # tool : spatula 3.1.10, habitat : x inch dish 2.1.3 # the chocolate # part : melt # over the almond # part : spread # butter mixture . while the chocolate is still warm , cut # drop : mixture 2.3.3, habitat : x inch dish 2.1.3 # the bars . allow to set # drop : bars 2.2.19, habitat : x inch dish 2.1.3 # for at least an hour . ",5
392,How many actions does it take to process the chocolate?,"stir # result : mixture 2.3.3, tool : spoon 1.1.1, habitat : bowl 1.1.1 # the melted # part : stir # butter , powdered # part : stir # sugar , graham # part : stir # cracker / vanilla # part : stir # crumbs , and almond # part : stir # butter together , until all of the ingredients are incorporated # drop : vanilla crumbs 1.1.12 almond butter 1.1.16 melted butter 1.1.3 powdered sugar 1.1.6 graham cracker 1.1.9, result : mixture 2.3.3 # . line a 9 # part : line # x 13 inch dish with foil # part : line # . drape the foil # part : drape # over the sides of the dish # part : drape # so that you can easily remove # tool : foil 2.1.9, habitat : x inch dish 2.1.3 # it once the bars set . press the mixture # part : press # into the bottom of the dish # part : press # . melt the vegan # part : melt # chocolate in a double # part : melt # boiler and spread # tool : spatula 3.1.10, habitat : x inch dish 2.1.3 # the chocolate # part : melt # over the almond # part : spread # butter mixture . while the chocolate is still warm , cut # drop : mixture 2.3.3, habitat : x inch dish 2.1.3 # the bars . allow to set # drop : bars 2.2.19, habitat : x inch dish 2.1.3 # for at least an hour . ",2
393,How many bowls are used?,"stir # result : mixture 2.3.3, tool : spoon 1.1.1, habitat : bowl 1.1.1 # the melted # part : stir # butter , powdered # part : stir # sugar , graham # part : stir # cracker / vanilla # part : stir # crumbs , and almond # part : stir # butter together , until all of the ingredients are incorporated # drop : vanilla crumbs 1.1.12 almond butter 1.1.16 melted butter 1.1.3 powdered sugar 1.1.6 graham cracker 1.1.9, result : mixture 2.3.3 # . line a 9 # part : line # x 13 inch dish with foil # part : line # . drape the foil # part : drape # over the sides of the dish # part : drape # so that you can easily remove # tool : foil 2.1.9, habitat : x inch dish 2.1.3 # it once the bars set . press the mixture # part : press # into the bottom of the dish # part : press # . melt the vegan # part : melt # chocolate in a double # part : melt # boiler and spread # tool : spatula 3.1.10, habitat : x inch dish 2.1.3 # the chocolate # part : melt # over the almond # part : spread # butter mixture . while the chocolate is still warm , cut # drop : mixture 2.3.3, habitat : x inch dish 2.1.3 # the bars . allow to set # drop : bars 2.2.19, habitat : x inch dish 2.1.3 # for at least an hour . ",1
394,How many whisks are used?,"preheat oven # part : preheat # to 250 in a bowl # part : whisk # , whisk # result : mixture 2.1.5, tool : whisk 2.1.5 # together ketchup # part : whisk # , barbecue # part : whisk # sauce , vinegar # part : whisk # , brown # part : whisk # sugar , mustard # part : whisk # powder , garlic # part : whisk # powder , and worcestershire # part : whisk # sauce . salt and pepper to taste . set aside . in a large # part : melt # skillet , melt butter # part : melt # over medium high heat . add # habitat : large skillet 3.1.3 # ribs # part : add # and brown on both sides . place ribs # part : place # , meat side down , in a 9 # part : place # * 13 inch baking pan . add # habitat : inch baking pan 3.3.10 # diced # part : add # onions to dish # part : add # and cover # habitat : inch baking pan 3.3.10 # with sauce # part : cover # . cover baking # part : cover # dish with tin # part : cover # foil and bake in the oven # part : bake # for 4 - 4 1/2 hours until meat # part : falls # is tender and easily falls off the bone . serves # drop : ribs 3.2.2 # 2 - 3 ",1
395,How many actions does it take to process the garlic powder?,"preheat oven # part : preheat # to 250 in a bowl # part : whisk # , whisk # result : mixture 2.1.5, tool : whisk 2.1.5 # together ketchup # part : whisk # , barbecue # part : whisk # sauce , vinegar # part : whisk # , brown # part : whisk # sugar , mustard # part : whisk # powder , garlic # part : whisk # powder , and worcestershire # part : whisk # sauce . salt and pepper to taste . set aside . in a large # part : melt # skillet , melt butter # part : melt # over medium high heat . add # habitat : large skillet 3.1.3 # ribs # part : add # and brown on both sides . place ribs # part : place # , meat side down , in a 9 # part : place # * 13 inch baking pan . add # habitat : inch baking pan 3.3.10 # diced # part : add # onions to dish # part : add # and cover # habitat : inch baking pan 3.3.10 # with sauce # part : cover # . cover baking # part : cover # dish with tin # part : cover # foil and bake in the oven # part : bake # for 4 - 4 1/2 hours until meat # part : falls # is tender and easily falls off the bone . serves # drop : ribs 3.2.2 # 2 - 3 ",1
396,How many bowls are used?,"preheat oven # part : preheat # to 250 in a bowl # part : whisk # , whisk # result : mixture 2.1.5, tool : whisk 2.1.5 # together ketchup # part : whisk # , barbecue # part : whisk # sauce , vinegar # part : whisk # , brown # part : whisk # sugar , mustard # part : whisk # powder , garlic # part : whisk # powder , and worcestershire # part : whisk # sauce . salt and pepper to taste . set aside . in a large # part : melt # skillet , melt butter # part : melt # over medium high heat . add # habitat : large skillet 3.1.3 # ribs # part : add # and brown on both sides . place ribs # part : place # , meat side down , in a 9 # part : place # * 13 inch baking pan . add # habitat : inch baking pan 3.3.10 # diced # part : add # onions to dish # part : add # and cover # habitat : inch baking pan 3.3.10 # with sauce # part : cover # . cover baking # part : cover # dish with tin # part : cover # foil and bake in the oven # part : bake # for 4 - 4 1/2 hours until meat # part : falls # is tender and easily falls off the bone . serves # drop : ribs 3.2.2 # 2 - 3 ",1
397,How many tin foils are used?,"preheat oven # part : preheat # to 250 in a bowl # part : whisk # , whisk # result : mixture 2.1.5, tool : whisk 2.1.5 # together ketchup # part : whisk # , barbecue # part : whisk # sauce , vinegar # part : whisk # , brown # part : whisk # sugar , mustard # part : whisk # powder , garlic # part : whisk # powder , and worcestershire # part : whisk # sauce . salt and pepper to taste . set aside . in a large # part : melt # skillet , melt butter # part : melt # over medium high heat . add # habitat : large skillet 3.1.3 # ribs # part : add # and brown on both sides . place ribs # part : place # , meat side down , in a 9 # part : place # * 13 inch baking pan . add # habitat : inch baking pan 3.3.10 # diced # part : add # onions to dish # part : add # and cover # habitat : inch baking pan 3.3.10 # with sauce # part : cover # . cover baking # part : cover # dish with tin # part : cover # foil and bake in the oven # part : bake # for 4 - 4 1/2 hours until meat # part : falls # is tender and easily falls off the bone . serves # drop : ribs 3.2.2 # 2 - 3 ",1
398,How many dishes are used?,"preheat oven # part : preheat # to 250 in a bowl # part : whisk # , whisk # result : mixture 2.1.5, tool : whisk 2.1.5 # together ketchup # part : whisk # , barbecue # part : whisk # sauce , vinegar # part : whisk # , brown # part : whisk # sugar , mustard # part : whisk # powder , garlic # part : whisk # powder , and worcestershire # part : whisk # sauce . salt and pepper to taste . set aside . in a large # part : melt # skillet , melt butter # part : melt # over medium high heat . add # habitat : large skillet 3.1.3 # ribs # part : add # and brown on both sides . place ribs # part : place # , meat side down , in a 9 # part : place # * 13 inch baking pan . add # habitat : inch baking pan 3.3.10 # diced # part : add # onions to dish # part : add # and cover # habitat : inch baking pan 3.3.10 # with sauce # part : cover # . cover baking # part : cover # dish with tin # part : cover # foil and bake in the oven # part : bake # for 4 - 4 1/2 hours until meat # part : falls # is tender and easily falls off the bone . serves # drop : ribs 3.2.2 # 2 - 3 ",1
399,How many actions does it take to process the mustard powder?,"preheat oven # part : preheat # to 250 in a bowl # part : whisk # , whisk # result : mixture 2.1.5, tool : whisk 2.1.5 # together ketchup # part : whisk # , barbecue # part : whisk # sauce , vinegar # part : whisk # , brown # part : whisk # sugar , mustard # part : whisk # powder , garlic # part : whisk # powder , and worcestershire # part : whisk # sauce . salt and pepper to taste . set aside . in a large # part : melt # skillet , melt butter # part : melt # over medium high heat . add # habitat : large skillet 3.1.3 # ribs # part : add # and brown on both sides . place ribs # part : place # , meat side down , in a 9 # part : place # * 13 inch baking pan . add # habitat : inch baking pan 3.3.10 # diced # part : add # onions to dish # part : add # and cover # habitat : inch baking pan 3.3.10 # with sauce # part : cover # . cover baking # part : cover # dish with tin # part : cover # foil and bake in the oven # part : bake # for 4 - 4 1/2 hours until meat # part : falls # is tender and easily falls off the bone . serves # drop : ribs 3.2.2 # 2 - 3 ",1
400,How many bowls are used?,"clean the baby # part : clean # beets and leave about 1-inch of the stems . wrap # drop : baby beets 1.1.3 # them on aluminum foil and roast # drop : baby beets 1.1.3, habitat : oven 1.2.7 # at 350f for about 1 hour to 11/2 hour . remove # drop : baby beets 1.1.3 # from foil # part : remove # and allow to cool # drop : baby beets 1.1.3 # . then peel the skin by gently rubbing # drop : skin 1.4.4 # it off . you can leave them # part : leave # whole or slice them # part : leave # as you prefer . in a large # part : whisk # bowl whisk # tool : whisk 2.1.5 # salt # part : whisk # and vinegar # part : whisk # until the salt # part : whisk # has dissolved . add # result : dressing 3.1.16 # the olive # part : add # oil and whisk # drop : dressing 3.1.16, tool : whisk 2.1.5 # until all blended . add the beets # part : add # and the salad # part : add # to the bowl # part : add # and gently toss # drop : salad 3.1.6 # until all the dressing # part : cover # cover the leaves # part : add # . serve # drop : salad 3.1.6 # on a plate # part : serve # and sprinkle the crumble # part : sprinkle # feta cheese over it # part : sprinkle # ",1
401,How many pans are used?,"brown the onion # part : brown # and garlic # part : brown # in the oil # part : brown # and butter # part : brown # . cut # tool : knife 2.1.1 # the meat # part : cut # into squares # part : add # and add to the pan # part : add # . brown # drop : squares 2.1.5 # well . incorporate the tomatoes # part : incorporate # , seasonings # part : incorporate # , carrots # part : incorporate # , and beef # part : incorporate # broth to cover the ingredients # part : cover # . cook 15 minutes and add the rest of the vegetables # part : add # . cook # drop : vegetables 5.1.10 # until the vegetables are half done , then add the rice # part : add # and the peaches # part : add # . continue cooking until everythig is done . serve # drop : vegetables 5.1.10 # sprinkled with parsley # part : sprinkled # or basil # part : sprinkled # . ",1
402,How many actions does it take to process the beef broth?,"brown the onion # part : brown # and garlic # part : brown # in the oil # part : brown # and butter # part : brown # . cut # tool : knife 2.1.1 # the meat # part : cut # into squares # part : add # and add to the pan # part : add # . brown # drop : squares 2.1.5 # well . incorporate the tomatoes # part : incorporate # , seasonings # part : incorporate # , carrots # part : incorporate # , and beef # part : incorporate # broth to cover the ingredients # part : cover # . cook 15 minutes and add the rest of the vegetables # part : add # . cook # drop : vegetables 5.1.10 # until the vegetables are half done , then add the rice # part : add # and the peaches # part : add # . continue cooking until everythig is done . serve # drop : vegetables 5.1.10 # sprinkled with parsley # part : sprinkled # or basil # part : sprinkled # . ",1
403,How many actions does it take to process the garlic?,"brown the onion # part : brown # and garlic # part : brown # in the oil # part : brown # and butter # part : brown # . cut # tool : knife 2.1.1 # the meat # part : cut # into squares # part : add # and add to the pan # part : add # . brown # drop : squares 2.1.5 # well . incorporate the tomatoes # part : incorporate # , seasonings # part : incorporate # , carrots # part : incorporate # , and beef # part : incorporate # broth to cover the ingredients # part : cover # . cook 15 minutes and add the rest of the vegetables # part : add # . cook # drop : vegetables 5.1.10 # until the vegetables are half done , then add the rice # part : add # and the peaches # part : add # . continue cooking until everythig is done . serve # drop : vegetables 5.1.10 # sprinkled with parsley # part : sprinkled # or basil # part : sprinkled # . ",1
404,How many actions does it take to process the oil?,"combine # result : dry ingredients 1.1.1, habitat : bowl 1.1.1 # flour # part : combine # , baking # part : combine # soda , salt # part : combine # and baking # part : combine # powder . in a separate bowl # part : combine # combine eggs # part : combine # , oil # part : combine # . mix # drop : eggs 2.1.6 oil 2.1.8, result : starter 3.1.1, tool : whisk 3.1.1, habitat : bowl 2.1.4 # well . add # drop : dry ingredients 1.1.1, habitat : bowl 1.1.1 # starter # part : add # to dry ingredients and mix # drop : dry ingredients 1.1.1 starter 3.1.1, result : dough 4.1.7, tool : whisk 3.1.1 # . transfer # drop : dough 4.1.7, shadow : flour 5.1.1 # to a lightly floured # part : transfer # surface and roll # drop : dough 4.1.7 # . cut # drop : dough 4.1.7 # out biscuits # part : cut # and place # drop : biscuits 6.1.3, shadow : grease 6.1.5 # on a lightly grease cookie # part : place # sheet . brush # tool : brush 7.1.1, habitat : cookie sheet 6.1.10 # top of biscuits # part : brush # with melted # part : brush # butter . cover # drop : biscuits 6.1.3, habitat : foil 8.1.1 # and let rise 30 minutes . bake # drop : biscuits 6.1.3, habitat : cookie sheet 6.1.10 # in a preheated 350 degf oven # part : bake # for 15 - 20 minutes . ",2
405,How many actions does it take to process the dry ingredient?,"combine # result : dry ingredients 1.1.1, habitat : bowl 1.1.1 # flour # part : combine # , baking # part : combine # soda , salt # part : combine # and baking # part : combine # powder . in a separate bowl # part : combine # combine eggs # part : combine # , oil # part : combine # . mix # drop : eggs 2.1.6 oil 2.1.8, result : starter 3.1.1, tool : whisk 3.1.1, habitat : bowl 2.1.4 # well . add # drop : dry ingredients 1.1.1, habitat : bowl 1.1.1 # starter # part : add # to dry ingredients and mix # drop : dry ingredients 1.1.1 starter 3.1.1, result : dough 4.1.7, tool : whisk 3.1.1 # . transfer # drop : dough 4.1.7, shadow : flour 5.1.1 # to a lightly floured # part : transfer # surface and roll # drop : dough 4.1.7 # . cut # drop : dough 4.1.7 # out biscuits # part : cut # and place # drop : biscuits 6.1.3, shadow : grease 6.1.5 # on a lightly grease cookie # part : place # sheet . brush # tool : brush 7.1.1, habitat : cookie sheet 6.1.10 # top of biscuits # part : brush # with melted # part : brush # butter . cover # drop : biscuits 6.1.3, habitat : foil 8.1.1 # and let rise 30 minutes . bake # drop : biscuits 6.1.3, habitat : cookie sheet 6.1.10 # in a preheated 350 degf oven # part : bake # for 15 - 20 minutes . ",4
406,How many times is the brush used?,"combine # result : dry ingredients 1.1.1, habitat : bowl 1.1.1 # flour # part : combine # , baking # part : combine # soda , salt # part : combine # and baking # part : combine # powder . in a separate bowl # part : combine # combine eggs # part : combine # , oil # part : combine # . mix # drop : eggs 2.1.6 oil 2.1.8, result : starter 3.1.1, tool : whisk 3.1.1, habitat : bowl 2.1.4 # well . add # drop : dry ingredients 1.1.1, habitat : bowl 1.1.1 # starter # part : add # to dry ingredients and mix # drop : dry ingredients 1.1.1 starter 3.1.1, result : dough 4.1.7, tool : whisk 3.1.1 # . transfer # drop : dough 4.1.7, shadow : flour 5.1.1 # to a lightly floured # part : transfer # surface and roll # drop : dough 4.1.7 # . cut # drop : dough 4.1.7 # out biscuits # part : cut # and place # drop : biscuits 6.1.3, shadow : grease 6.1.5 # on a lightly grease cookie # part : place # sheet . brush # tool : brush 7.1.1, habitat : cookie sheet 6.1.10 # top of biscuits # part : brush # with melted # part : brush # butter . cover # drop : biscuits 6.1.3, habitat : foil 8.1.1 # and let rise 30 minutes . bake # drop : biscuits 6.1.3, habitat : cookie sheet 6.1.10 # in a preheated 350 degf oven # part : bake # for 15 - 20 minutes . ",1
407,How many actions does it take to process the mozzarella stick?,"remove # tool : knife 1.1.1 # core , stem and seed from pepper # part : remove # . cut # tool : knife 1.1.1 # pepper # part : cut # lengthwise into 1-inch wide strips , then cut # drop : pepper 1.1.8, result : pepper fingernails 2.2.20, tool : knife 1.1.1 # crosswise into 1/2-inch pieces - they'll be the fingernails . round # tool : knife 1.1.1 # corners on one end of pepper # part : round # . cut mozzarella # part : cut # sticks in half , crosswise - they 'll be the fingers . round # tool : knife 1.1.1 # corners on one end of sticks # part : round # and also cut # drop : mozzarella sticks 2.1.2 # out a 1/2-inch square notch - you'll put the pepper # part : put # fingernails here . place pizza # part : place # crusts on baking # part : place # sheet . spread # result : pizza 3.2.1 # pizza # part : spread # sauce over each crust # part : spread # . place 3 cheese # part : place # fingers on each crust # part : place # and fit a red # part : fit # pepper fingernail onto each cheese # part : place # finger . bake # drop : pizza 3.2.1 # for 8 minutes or until cheese # part : melt # just begins to melt ( do n't let the cheese # part : melt # fingers melt completely ) . serve # drop : pizza 3.2.1 # to kids who want a bloody treat . ",2
408,How many baking sheets are used?,"remove # tool : knife 1.1.1 # core , stem and seed from pepper # part : remove # . cut # tool : knife 1.1.1 # pepper # part : cut # lengthwise into 1-inch wide strips , then cut # drop : pepper 1.1.8, result : pepper fingernails 2.2.20, tool : knife 1.1.1 # crosswise into 1/2-inch pieces - they'll be the fingernails . round # tool : knife 1.1.1 # corners on one end of pepper # part : round # . cut mozzarella # part : cut # sticks in half , crosswise - they 'll be the fingers . round # tool : knife 1.1.1 # corners on one end of sticks # part : round # and also cut # drop : mozzarella sticks 2.1.2 # out a 1/2-inch square notch - you'll put the pepper # part : put # fingernails here . place pizza # part : place # crusts on baking # part : place # sheet . spread # result : pizza 3.2.1 # pizza # part : spread # sauce over each crust # part : spread # . place 3 cheese # part : place # fingers on each crust # part : place # and fit a red # part : fit # pepper fingernail onto each cheese # part : place # finger . bake # drop : pizza 3.2.1 # for 8 minutes or until cheese # part : melt # just begins to melt ( do n't let the cheese # part : melt # fingers melt completely ) . serve # drop : pizza 3.2.1 # to kids who want a bloody treat . ",1
409,How many knives are used?,"remove # tool : knife 1.1.1 # core , stem and seed from pepper # part : remove # . cut # tool : knife 1.1.1 # pepper # part : cut # lengthwise into 1-inch wide strips , then cut # drop : pepper 1.1.8, result : pepper fingernails 2.2.20, tool : knife 1.1.1 # crosswise into 1/2-inch pieces - they'll be the fingernails . round # tool : knife 1.1.1 # corners on one end of pepper # part : round # . cut mozzarella # part : cut # sticks in half , crosswise - they 'll be the fingers . round # tool : knife 1.1.1 # corners on one end of sticks # part : round # and also cut # drop : mozzarella sticks 2.1.2 # out a 1/2-inch square notch - you'll put the pepper # part : put # fingernails here . place pizza # part : place # crusts on baking # part : place # sheet . spread # result : pizza 3.2.1 # pizza # part : spread # sauce over each crust # part : spread # . place 3 cheese # part : place # fingers on each crust # part : place # and fit a red # part : fit # pepper fingernail onto each cheese # part : place # finger . bake # drop : pizza 3.2.1 # for 8 minutes or until cheese # part : melt # just begins to melt ( do n't let the cheese # part : melt # fingers melt completely ) . serve # drop : pizza 3.2.1 # to kids who want a bloody treat . ",1
410,How many actions does it take to process the pepper?,"remove # tool : knife 1.1.1 # core , stem and seed from pepper # part : remove # . cut # tool : knife 1.1.1 # pepper # part : cut # lengthwise into 1-inch wide strips , then cut # drop : pepper 1.1.8, result : pepper fingernails 2.2.20, tool : knife 1.1.1 # crosswise into 1/2-inch pieces - they'll be the fingernails . round # tool : knife 1.1.1 # corners on one end of pepper # part : round # . cut mozzarella # part : cut # sticks in half , crosswise - they 'll be the fingers . round # tool : knife 1.1.1 # corners on one end of sticks # part : round # and also cut # drop : mozzarella sticks 2.1.2 # out a 1/2-inch square notch - you'll put the pepper # part : put # fingernails here . place pizza # part : place # crusts on baking # part : place # sheet . spread # result : pizza 3.2.1 # pizza # part : spread # sauce over each crust # part : spread # . place 3 cheese # part : place # fingers on each crust # part : place # and fit a red # part : fit # pepper fingernail onto each cheese # part : place # finger . bake # drop : pizza 3.2.1 # for 8 minutes or until cheese # part : melt # just begins to melt ( do n't let the cheese # part : melt # fingers melt completely ) . serve # drop : pizza 3.2.1 # to kids who want a bloody treat . ",4
411,How many actions does it take to process the seasoning?,"bring water # part : boil # to a boil # habitat : pot 1.1.5 # and add # drop : water 1.1.2 # quinoa # part : add # . when cooking time is about half way done add # drop : quinoa 1.1.8, habitat : pot 1.1.5 # soy # part : add # sauce . set # habitat : bowl 1.3.1 # quinoa # part : set # aside when completely cooked # drop : quinoa 1.1.8, habitat : pot 1.1.5 # . dice # tool : knife 2.1.1, habitat : cutting board 2.1.1 # onion # part : dice # and place # drop : onion 2.1.2 # in a medium size wok # part : place # along with a small amount of soy # part : place # sauce to cook # habitat : wok 2.1.9 # . cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # peppers # part : cut # and broccoli # part : cut # to desired size and add # drop : onion 2.1.2, result : ingredients mix 3.1.9 # to wok # part : add # clean # shadow : water 4.1.1 # and cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # chicken # part : clean # breast into small pieces . season # drop : small pieces 4.1.7 # evenly with ginger # part : season # powder . add # drop : small pieces 4.1.7 # to wok # part : add # . cook # habitat : wok 2.1.9 # ingredients # part : cook # until chicken # part : cooked # is fully cooked # habitat : wok 2.1.9 # , stirring # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # in a small amount of soy # part : stirring # sauce as desired . when ingredients # part : cooked # are cooked mix # drop : ingredients mix 3.1.9, habitat : wok 2.1.9 # the quinoa # part : mix # into the wok # part : cooked # . stir # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # throughly . serve # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # and add # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # additional seasonings # part : add # as desired . ",1
412,How many times is the knife used?,"bring water # part : boil # to a boil # habitat : pot 1.1.5 # and add # drop : water 1.1.2 # quinoa # part : add # . when cooking time is about half way done add # drop : quinoa 1.1.8, habitat : pot 1.1.5 # soy # part : add # sauce . set # habitat : bowl 1.3.1 # quinoa # part : set # aside when completely cooked # drop : quinoa 1.1.8, habitat : pot 1.1.5 # . dice # tool : knife 2.1.1, habitat : cutting board 2.1.1 # onion # part : dice # and place # drop : onion 2.1.2 # in a medium size wok # part : place # along with a small amount of soy # part : place # sauce to cook # habitat : wok 2.1.9 # . cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # peppers # part : cut # and broccoli # part : cut # to desired size and add # drop : onion 2.1.2, result : ingredients mix 3.1.9 # to wok # part : add # clean # shadow : water 4.1.1 # and cut # tool : knife 2.1.1, habitat : cutting board 2.1.1 # chicken # part : clean # breast into small pieces . season # drop : small pieces 4.1.7 # evenly with ginger # part : season # powder . add # drop : small pieces 4.1.7 # to wok # part : add # . cook # habitat : wok 2.1.9 # ingredients # part : cook # until chicken # part : cooked # is fully cooked # habitat : wok 2.1.9 # , stirring # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # in a small amount of soy # part : stirring # sauce as desired . when ingredients # part : cooked # are cooked mix # drop : ingredients mix 3.1.9, habitat : wok 2.1.9 # the quinoa # part : mix # into the wok # part : cooked # . stir # drop : ingredients mix 3.1.9, tool : spoon 5.1.9, habitat : wok 2.1.9 # throughly . serve # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # and add # drop : ingredients mix 3.1.9, habitat : plate 7.1.1 # additional seasonings # part : add # as desired . ",6
